TT        PID        AT        CT        IO_D        WT      RT      TRT
35        65        18       183         0        17         0        17
35        67        28       186         0         7         0         7
38        62         4        54         0        34         0        34
38        63         4       197         0        34         0        34
38        68        36       165         0         2         0         2
54         5         7        27         0        20         0        47
61        61         3       199         0         0         0        58
61        64         6        52         0        55         0        55
61        66        20       194         0        41         0        41
61        69        39       162         0        22         0        22
74        71        52        51         0        22         0        22
74        72        54        49         0        20         0        20
74        73        57        53         0        17         0        17
74        74        58        52         0        16         0        16
80        35        60        20         0         0         0        20
99        25        37        35         0        27         0        62
107        41        90        12         0         5         0        17
111        76        76        34         0        35         0        35
111        78        80        30         0        31         0        31
111        31        46        65         0         0         0        65
115        70        46       155         0        66        65        69
115        77        76       188         0        39         0        39
115        81       113       153         0         2         0         2
120        75        75       189         0        45         0        45
120        83       117       147         0         3         0         3
125        27        40        27         0        58        67        85
128         2         3        56         7        69        96       125
161        84       134       144         0         0         0        27
161        87       143       134         0        18         0        18
173        48       125        48         0         0         0        48
183         4         5        81         5        97       168       178
195        79        86       108         0       109       109       109
195        80        91       103         0       104         0       104
195        40        85       110         0         0         0       110
200        30        45       169         0       155         0       155
252        33        51        53         0       148        29       201
260        16        23       199         0       183         0       237
263        85       137       141         0       126         0       126
263        86       139       138         0       124         0       124
263        88       161       117         0       102         0       102
263        89       176        86         0        87         0        87
263        90       178        84         0        85         0        85
263        13        19        92         0       152         0       244
264        14        21        34         0       209         0       243
266        37        70        50        10       146         0       196
271        92       208       156         0        63         0        63
271        93       265        98         0         6         0         6
284        95       275       187         0         9         0         9
284        96       278       184         0         6         0         6
291        22        34       127         0       130         0       257
295        23        35        20         0       240       256       260
309        98       289       173         0        20         0        20
309        99       293       169         0        16         0        16
309        47       120        23         0       166       175       189
322        36        65        30         0       227       244       257
324       100       309        14         0        15         0        15
324       101       318         5         0         6         0         6
324         7        10        73         3       241         0       314
332        19        25        93        14       214         0       307
338        42        95        25         0       218       237       243
365        82       114       152         0       251         0       251
365        91       207       157         0       158         0       158
365        94       270        93         0        95         0        95
365        97       280        84         0        85         0        85
386        58       175       185         0        26         0       211
404        29        43       101        15       260        82       361
410        60       185        77         0       148         0       225
423       104       366        78         0        57         0        57
423       105       372        72         0        51         0        51
436       106       403        37         0        33         0        33
436       107       404        36         0        32         0        32
442       108       439        16         0         3         0         3
443       102       326       116         0       117         0       117
443       103       329       113         0       114         0       114
443         3         5       134         0       304       317       438
445        11        17       134         0       294         0       428
453        24        37        40         0       376       301       416
456        20        27       108         0       321         0       429
459         8        13        90        10       356         0       446
463        12        19        80         2       364       440       444
464       113       460         3         0         4         0         4
464       111       452        11         0         1         0        12
464       110       450        13         0        14         0        14
464        52       145        39        21       280       300       319
468       109       445        34         0        23         0        23
490       114       466        23         0        24         0        24
490       115       468        21         0        22         0        22
490       112       454        25         0        11        10        36
493        46       115       100         0       278         0       378
519        26        38        66         0       415       405       481
526       117       473        69         0        53         0        53
526       121       493       127         0        33         0        33
528        49       130       149        30       249         0       398
536         6         7       107         6       422         0       529
553       123       542        17         0        11         0        11
553       124       548        11         0         5         0         5
554        56       165        68         0       321       239       389
557        54       155        67         0       335       364       402
559       116       468        74         0        91         0        91
559       120       491       129         0        68         0        68
563       118       488        74         0        75        75        75
563       119       490        72         0        73         0        73
563        50       135       209         5       219         0       428
571        34        54        55         0       462       500       517
572        21        30       183         0       359         0       542
575        15        21        88         0       466       443       554
604       122       527        93         0        37         0        77
604       129       580        76         0        24         0        24
604       130       581        75         0        23         0        23
612        44       105        85        30       422        78       507
632         9        14       121         9       497       543       618
636       126       569        87         0         1         0        67
636       127       573        83         0        63         0        63
636       131       609        47         0        27         0        27
647        38        75        45        15       527       461       572
648       132       643        13         0         0         0         5
648       133       643        12         0         5         0         5
648       134       644        11         0         4         0         4
651       135       647         9         0         1         0         4
651       136       648         8         0         3         0         3
657       137       652         4         0         5         0         5
657       138       653         3         0         4         0         4
657       125       568        88         0         1         0        89
663       128       578        78         0        80        79        85
663        10        15       200         0       448         0       648
664        32        48        70         6       546         0       616
673       139       662        73         0         1         0        11
673       142       667        67         0         6         0         6
679       143       673        61         0         1         0         6
679       144       676        58         0         3         0         3
679       145       677        57         0         2         0         2
718        51       140       154         0       424         0       578
719        39        80       100         0       539       383       639
721        43       100        67         0       554         0       621
722        53       150        58        23       514       568       572
725        59       180       103         0       442       541       545
727        45       110        98         0       519       418       617
728        28        40        70         0       618       682       688
732        18        25       161         0       546       703       707
735       141       665        69         0        70        70        70
735       146       679        55         0        56         0        56
735       140       664        71         0         0         0        71
775        55       160        75         0       540         0       615
802        17        24       150         0       628       466       778
829         1         3       200        37       626       729       826
843        57       170       157        12       516       555       673

Processes: 146
Avg WT = 145.144      Avg RT = 76.6986      Avg TRT = 183.267
Migration %:     RTF= 16.4384%,      MaxW= 5.47945%
Work Steal%: 9.58904%
Forked Process: 58.9041%
Killed Process: 1.36986%
Processes Finished before deadline: 76%
Processsors: 10 [ 3 FCFS, 4 SJF, 1 EDF, 2 RR ]
 ******** Processors Load *********
p1= 1.90978%,	
p2= 2.10786%,	
p3= 2.21624%,	
p4= 2.45169%,	
p5= 2.56755%,	
p6= 2.34331%,	
p7= 2.06301%,	
p8= 1.60706%,	
p9= 2.13402%,	
p10= 1.63322%,	

 ********* Processors Utiliz ********** 
p1= 71.8706%,	
p2= 74.702%,	
p3= 78.5431%,	
p4= 85.6397%,	
